Matrix	Sub Matrix	Sub Matrix	ontology ID	label	parent class	exact synonym	exact match	close match	definition	comment	editors note	broad synonym	narrow synonym	cross refference	BCODMO master paramater	Entity subset	category subset
channel	borehole		ENVO:00002226	borehole												http://bcodmo/sm#matrix	http://bcodmo/sm#context
channel	brine channel		ENVO:03000041	brine channel												http://bcodmo/sm#matrix	http://bcodmo/sm#context
channel	thaw hole		ENVO:03000048	thaw hole												http://bcodmo/sm#matrix	http://bcodmo/sm#context
channel	thaw hole	cryoconite hole	ENVO:03000039	cryoconite hole												http://bcodmo/sm#matrix	http://bcodmo/sm#context
channel	tunnel		ENVO:00000068	tunnel												http://bcodmo/sm#matrix	http://bcodmo/sm#context
channel	lake channel		ENVO:00000397	lake channel												http://bcodmo/sm#matrix	http://bcodmo/sm#context
channel	marine channel		ENVO:00000396	marine channel												http://bcodmo/sm#matrix	http://bcodmo/sm#context
channel	strait		ENVO:00000394	strait												http://bcodmo/sm#matrix	http://bcodmo/sm#context
channel	strait	ocean strait	ENVO:01000651	ocean strait												http://bcodmo/sm#matrix	http://bcodmo/sm#context
channel	stream channel		ENVO:01000650	stream channel												http://bcodmo/sm#matrix	http://bcodmo/sm#context
channel	stream channel	river channel	ENVO:01000652	river channel												http://bcodmo/sm#matrix	http://bcodmo/sm#context
coast			ENVO:01000687	coast												http://bcodmo/sm#matrix	http://bcodmo/sm#context
coast	lake coast		ENVO:01000688	lake coast												http://bcodmo/sm#matrix	http://bcodmo/sm#context
coast	sea coast		ENVO:00000303	sea coast												http://bcodmo/sm#matrix	http://bcodmo/sm#context
confluence			ENVO:00000272	confluence												http://bcodmo/sm#matrix	http://bcodmo/sm#context
crater			ENVO:00000514	crater												http://bcodmo/sm#matrix	http://bcodmo/sm#context
crater	marine pockmark		ENVO:01000160	marine pockmark												http://bcodmo/sm#matrix	http://bcodmo/sm#context
estuary			ENVO:00000045	estuary												http://bcodmo/sm#matrix	http://bcodmo/sm#context
estuary	brackish estuary		ENVO:00002137	brackish estuary												http://bcodmo/sm#matrix	http://bcodmo/sm#context
estuary	highly stratified estuary		ENVO:00000225	highly stratified estuary												http://bcodmo/sm#matrix	http://bcodmo/sm#context
estuary	intermittent estuary		ENVO:00000229	intermittent estuary												http://bcodmo/sm#matrix	http://bcodmo/sm#context
estuary	inverse estuary		ENVO:00000228	inverse estuary												http://bcodmo/sm#matrix	http://bcodmo/sm#context
estuary	saline wedge estuary		ENVO:00000226	saline wedge estuary												http://bcodmo/sm#matrix	http://bcodmo/sm#context
estuary	slightly stratified estuary		ENVO:00000224	slightly stratified estuary												http://bcodmo/sm#matrix	http://bcodmo/sm#context
estuary	well-mixed estuary		ENVO:01001653	well-mixed estuary												http://bcodmo/sm#matrix	http://bcodmo/sm#context
flood			ENVO:01000710	flood												http://bcodmo/sm#matrix	http://bcodmo/sm#context
flood	coastal flood		ENVO:01000711	coastal flood												http://bcodmo/sm#matrix	http://bcodmo/sm#context
flood	storm surge		ENVO:01000714	storm surge												http://bcodmo/sm#matrix	http://bcodmo/sm#context
flood	flash flood		ENVO:01000713	flash flood												http://bcodmo/sm#matrix	http://bcodmo/sm#context
flood	riverine flood		ENVO:01000712	riverine flood												http://bcodmo/sm#matrix	http://bcodmo/sm#context
fluid cline			ENVO:01000258	fluid cline												http://bcodmo/sm#matrix	http://bcodmo/sm#context
fluid cline	marine cline		ENVO:01001676	marine cline												http://bcodmo/sm#matrix	http://bcodmo/sm#context
fluid cline	chemocline		ENVO:00002270	chemocline												http://bcodmo/sm#matrix	http://bcodmo/sm#context
fluid cline	chemocline	marine chemocline	ENVO:01000076	marine chemocline												http://bcodmo/sm#matrix	http://bcodmo/sm#context
fluid cline	lysocline		ENVO:01001674	lysocline												http://bcodmo/sm#matrix	http://bcodmo/sm#context
fluid cline	lysocline	marine lysocline	ENVO:01000079	marine lysocline												http://bcodmo/sm#matrix	http://bcodmo/sm#context
fluid cline	nutricline		ENVO:01001675	nutricline												http://bcodmo/sm#matrix	http://bcodmo/sm#context
fluid cline	oceanic front		ENVO:01000071	oceanic front												http://bcodmo/sm#matrix	http://bcodmo/sm#context
fluid cline	oceanic front	boundary current front	ENVO:01000093	boundary current front												http://bcodmo/sm#matrix	http://bcodmo/sm#context
fluid cline	oceanic front	coastal buoyancy current front	ENVO:01000086	coastal buoyancy current front												http://bcodmo/sm#matrix	http://bcodmo/sm#context
fluid cline	oceanic front	coastal upwelling front	ENVO:01000090	coastal upwelling front												http://bcodmo/sm#matrix	http://bcodmo/sm#context
fluid cline	oceanic front	equatorial upwelling front	ENVO:01000092	equatorial upwelling front												http://bcodmo/sm#matrix	http://bcodmo/sm#context
fluid cline	oceanic front	estuarine front	ENVO:01000084	estuarine front												http://bcodmo/sm#matrix	http://bcodmo/sm#context
fluid cline	oceanic front	marginal ice zone front	ENVO:01000095	marginal ice zone front												http://bcodmo/sm#matrix	http://bcodmo/sm#context
fluid cline	oceanic front	mid-shelf fronts	ENVO:01000088	mid-shelf fronts												http://bcodmo/sm#matrix	http://bcodmo/sm#context
fluid cline	oceanic front	plume front	ENVO:01000085	plume front												http://bcodmo/sm#matrix	http://bcodmo/sm#context
fluid cline	oceanic front	shelf-slope/shelf-break front	ENVO:01000089	shelf-slope/shelf-break front												http://bcodmo/sm#matrix	http://bcodmo/sm#context
fluid cline	oceanic front	subtropical convergence front	ENVO:01000094	subtropical convergence front												http://bcodmo/sm#matrix	http://bcodmo/sm#context
fluid cline	oceanic front	surface convergence	ENVO:01000097	surface convergence												http://bcodmo/sm#matrix	http://bcodmo/sm#context
fluid cline	oceanic front	tidal mixing front	ENVO:01000087	tidal mixing front												http://bcodmo/sm#matrix	http://bcodmo/sm#context
fluid cline	oceanic front	topographic upwelling front	ENVO:01000091	topographic upwelling front												http://bcodmo/sm#matrix	http://bcodmo/sm#context
fluid cline	oceanic front	water mass front	ENVO:01000096	water mass front												http://bcodmo/sm#matrix	http://bcodmo/sm#context
fluid cline	pycnocline		ENVO:01000259	pycnocline												http://bcodmo/sm#matrix	http://bcodmo/sm#context
fluid cline	pycnocline	marine pycnocline	ENVO:01000077	marine pycnocline												http://bcodmo/sm#matrix	http://bcodmo/sm#context
fluid cline	thermocline		ENVO:00002269	thermocline												http://bcodmo/sm#matrix	http://bcodmo/sm#context
fluid cline	thermocline	marine thermocline	ENVO:01000075	marine thermocline												http://bcodmo/sm#matrix	http://bcodmo/sm#context
fluid cline	thermocline	metalimnion	ENVO:00002132	metalimnion												http://bcodmo/sm#matrix	http://bcodmo/sm#context
fumarole-derived ice tower			ENVO:01000754	fumarole-derived ice tower												http://bcodmo/sm#matrix	http://bcodmo/sm#context
harbor			ENVO:00000463	harbor												http://bcodmo/sm#matrix	http://bcodmo/sm#context
harbor	artificial harbor		ENVO:00000464	artificial harbor												http://bcodmo/sm#matrix	http://bcodmo/sm#context
harbor	natural harbor		ENVO:00000465	natural harbor												http://bcodmo/sm#matrix	http://bcodmo/sm#context
headwater			ENVO:00000153	headwater												http://bcodmo/sm#matrix	http://bcodmo/sm#context
ice field			ENVO:00000299	ice field												http://bcodmo/sm#matrix	http://bcodmo/sm#context
ice field	glacier ice field		ENVO:01001532	glacier ice field												http://bcodmo/sm#matrix	http://bcodmo/sm#context
ice field	sea ice field		ENVO:01001531	sea ice field												http://bcodmo/sm#matrix	http://bcodmo/sm#context
inlet			ENVO:00000475	inlet												http://bcodmo/sm#matrix	http://bcodmo/sm#context
inlet	coastal inlet		ENVO:00000137	coastal inlet												http://bcodmo/sm#matrix	http://bcodmo/sm#context
inlet	coastal inlet	bay	ENVO:00000032	bay												http://bcodmo/sm#matrix	http://bcodmo/sm#context
inlet	coastal inlet	cove	ENVO:00000138	cove												http://bcodmo/sm#matrix	http://bcodmo/sm#context
inlet	coastal inlet	fjord	ENVO:00000039	fjord												http://bcodmo/sm#matrix	http://bcodmo/sm#context
inlet	coastal inlet	sound	ENVO:00000393	sound												http://bcodmo/sm#matrix	http://bcodmo/sm#context
inlet	lake inlet		ENVO:00000476	lake inlet												http://bcodmo/sm#matrix	http://bcodmo/sm#context
island			ENVO:00000098	island												http://bcodmo/sm#matrix	http://bcodmo/sm#context
island	artificial island		ENVO:00000099	artificial island												http://bcodmo/sm#matrix	http://bcodmo/sm#context
island	continental island		ENVO:00000221	continental island												http://bcodmo/sm#matrix	http://bcodmo/sm#context
island	continental island	land-tied island	ENVO:00000269	land-tied island												http://bcodmo/sm#matrix	http://bcodmo/sm#context
island	continental island	microcontinental island	ENVO:1000749	microcontinental island												http://bcodmo/sm#matrix	http://bcodmo/sm#context
island	depositional island		ENVO:1000750	depositional island												http://bcodmo/sm#matrix	http://bcodmo/sm#context
island	depositional island	barrier island	ENVO:1000751	barrier island												http://bcodmo/sm#matrix	http://bcodmo/sm#context
island	ephemeral island		ENVO:00000368	ephemeral island												http://bcodmo/sm#matrix	http://bcodmo/sm#context
island	lake island		ENVO:00000424	lake island												http://bcodmo/sm#matrix	http://bcodmo/sm#context
island	mangrove island		ENVO:00000103	mangrove island												http://bcodmo/sm#matrix	http://bcodmo/sm#context
island	oceanic island		ENVO:00000222	oceanic island												http://bcodmo/sm#matrix	http://bcodmo/sm#context
island	oceanic island	atoll	ENVO:00000166	atoll												http://bcodmo/sm#matrix	http://bcodmo/sm#context
island	river island		ENVO:00000423	river island												http://bcodmo/sm#matrix	http://bcodmo/sm#context
isthmus			ENVO:00000174	isthmus												http://bcodmo/sm#matrix	http://bcodmo/sm#context
isthmus	land bridge		ENVO:00000391	land bridge												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake			ENVO:00000020	lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	aeolian lake		ENVO:01001105	aeolian lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	amictic lake		ENVO:01000284	amictic lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	anoxic lake		ENVO:01001072	anoxic lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	artificial lake		ENVO:00000377	artificial lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	artificial lake	reservoir	ENVO:00000025	reservoir												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	asphalt lake		ENVO:00000165	asphalt lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	crater lake		ENVO:01001062	crater lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	endorheic lake		ENVO:00000197	endorheic lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	eutrophic lake		ENVO:01000548	eutrophic lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	eutrophic lake	hypereutrophic lake	ENVO:01001019	hypereutrophic lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	exorheic lake		ENVO:01000824	exorheic lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	fjord lake		ENVO:00000201	fjord lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	freshwater lake		ENVO:00000021	freshwater lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	freshwater lake	thermokarst lake	ENVO:03000082	thermokarst lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	freshwater lake	methane-releasing thermokarst lake	ENVO:03000083	methane-releasing thermokarst lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	glacial lake		ENVO:00000488	glacial lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	glacial lake	ice-covered lake	ENVO:00000198	ice-covered lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	glacial lake	subglacial lake	ENVO:03000120	subglacial lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	paternoster lake		ENVO:00000487	paternoster lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	periglacial lake		ENVO:00000200	periglacial lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	proglacial lake		ENVO:00000435	proglacial lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	holomictic lake		ENVO:01000285	holomictic lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	holomictic lake	dimictic lake	ENVO:01000286	dimictic lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	holomictic lake	monomictic lake	ENVO:01000288	monomictic lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	holomictic lake	polymictic lake	ENVO:01000287	polymictic lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	humic lake		ENVO:00000199	humic lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	hypoxic lake		ENVO:01001075	hypoxic lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	intraglacial lake		ENVO:03000053	intraglacial lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	landslide lake		ENVO:01001106	landslide lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	meromictic lake		ENVO:00000199	meromictic lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	mesotrophic lake		ENVO:01000775	mesotrophic lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	oligotrophic lake		ENVO:01000774	oligotrophic lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	oxbow lake		ENVO:00000202	oxbow lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	oxic lake		ENVO:01001076	oxic lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	polluted lake		ENVO:01000680	polluted lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	ribbon lake		ENVO:00000452	ribbon lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	saline lake		ENVO:00000019	saline lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	saline lake	alkaline salt lake	ENVO:00002121	alkaline salt lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	saline lake	brackish lake	ENVO:00000540	brackish lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	saline lake	hypersaline lake	ENVO:01001020	hypersaline lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	supraglacial lake		ENVO:03000035	supraglacial lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	tarn		ENVO:00000455	tarn												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	tectonic lake		ENVO:01001092	tectonic lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
lake	tectonic lake	rift lake	ENVO:00000203	rift lake												http://bcodmo/sm#matrix	http://bcodmo/sm#context
