### BCODMO_SM Matrix Material terms:
ENVO:01001019	#hypereutrophic lake
ENVO:01001020	#hypersaline lake
ENVO:00002130	#hypolimnion
ENVO:01001075	#hypoxic lake
ENVO:01000365	#ice cave
ENVO:00000299	#ice field
ENVO:01001276	#ice layer
ENVO:01001551	#ice lead
ENVO:00000198	#ice-covered lake
ENVO:03000051	#ice-encased melt pond
ENVO:01000882	#icestorm
ENVO:00000089	#inland cliff
ENVO:01001786	#inland sea
ENVO:00000475	#inlet
ENVO:01000643	#inner planetary core
ENVO:00000494	#insequent stream
ENVO:00000229	#intermittent estuary
ENVO:00000389	#intermittent wetland
ENVO:01001468	#intertidal ecosystem
ENVO:01001710	#intertropical front
ENVO:03000053	#intraglacial lake
ENVO:00000228	#inverse estuary
ENVO:01000545	#ionosphere
ENVO:00000036	#irrigation canal
ENVO:00000098	#island
ENVO:00000353	#island arc
ENVO:00000174	#isthmus
ENVO:01001709	#katafront
ENVO:01000058	#kelp forest
ENVO:00000093	#lacustrine beach
ENVO:00000242	#lacustrine mudflat
ENVO:00000038	#lagoon
ENVO:00000020	#lake
ENVO:00000268	#lake bed
ENVO:00000397	#lake channel
ENVO:01000688	#lake coast
ENVO:00000476	#lake inlet
ENVO:00000424	#lake island
ENVO:01000283	#lake layer
ENVO:00000382	#lake shore
ENVO:00000105	#lake surface
ENVO:00000391	#land bridge
ENVO:00000269	#land-tied island
ENVO:00000219	#landlocked sea
ENVO:01001781	#landmass
ENVO:01001106	#landslide lake
ENVO:01001486	#landspout
ENVO:00000178	#levee
ENVO:00000453	#liman
ENVO:01000359	#limestone cave
ENVO:01000644	#liquid planetary core
ENVO:01000646	#lithosphere
ENVO:00000517	#lost stream
ENVO:01001674	#lysocline
ENVO:00000417	#machair
ENVO:00000442	#maelstrom
ENVO:00000103	#mangrove island
ENVO:00000057	#mangrove swamp
ENVO:01000095	#marginal ice zone front
ENVO:01000027	#marine abyssal zone
ENVO:00000212	#marine abyssalpelagic zone
ENVO:01000057	#marine algal bloom
ENVO:00000210	#marine aphotic zone
ENVO:01000026	#marine bathyal zone
ENVO:00000211	#marine bathypelagic zone
ENVO:01001378	#marine bed
ENVO:01000062	#marine benthic storm
ENVO:01000024	#marine benthic zone
ENVO:00000396	#marine channel
ENVO:01000076	#marine chemocline
ENVO:01001676	#marine cline
ENVO:01000108	#marine cold water mass
ENVO:01000067	#marine current
ENVO:01000064	#marine downwelling
