### BCODMO_SM element terms:
CHEBI:29400	#trisulfur(2+)
CHEBI:29238	#tritium atom
CHEBI:29304	#tritium(0)
CHEBI:50559	#uranium
CHEBI:27214	#uranium atom
CHEBI:49936	#uranium(0)
CHEBI:32993	#uranium(2+)
CHEBI:32994	#uranium(3+)
CHEBI:32995	#uranium(4+)
CHEBI:32991	#uranium(5+)
CHEBI:32992	#uranium(6+)
CHEBI:35171	#vanadium
CHEBI:27698	#vanadium atom
CHEBI:52456	#vanadium-51 atom
CHEBI:35170	#vanadium(0)
CHEBI:33005	#vanadium(1+)
CHEBI:33004	#vanadium(2+)
CHEBI:49948	#vanadium(3+)
CHEBI:33002	#vanadium(4+)
CHEBI:33003	#vanadium(5+)
CHEBI:49984	#xenon
CHEBI:49957	#xenon atom
CHEBI:52453	#xenon-129 atom
CHEBI:49989	#xenon(.1+)
CHEBI:49956	#xenon(0)
CHEBI:33381	#ytterbium atom
CHEBI:49980	#ytterbium(3+)
CHEBI:155925	#yttrium
CHEBI:33331	#yttrium atom
CHEBI:52622	#yttrium-89 atom
CHEBI:49978	#yttrium(2+)
CHEBI:37253	#zinc
CHEBI:27363	#zinc atom
CHEBI:27365	#zinc valence
CHEBI:82623	#zinc-65 atom
CHEBI:52761	#zinc-67 atom
CHEBI:30185	#zinc(0)
CHEBI:37255	#zinc(1+)
CHEBI:29105	#zinc(2+)
CHEBI:37254	#zincide
CHEBI:33342	#zirconium atom



### BCODMO_SM compound terms:
CHEBI:32617	#(+)-aplasmomycin
CHEBI:30140	#(dichlorine dioxide)(1+)
CHEBI:29928	#(dioxido)hydroxidodioxidophosphate(.1-)
CHEBI:29788	#(dioxido)oxidocarbonate(.1-)
CHEBI:29933	#(dioxido)trioxidophosphate(.2-)
CHEBI:131588	#12-ethyl-8-isobutyl-3-vinylbacteriochlorophyllide d
CHEBI:131587	#12-ethyl-8-propyl-3-vinylbacteriochlorophyllide d
CHEBI:48399	#13(2)-carboxypyropheophorbide a
CHEBI:30619	#2,4-divinyl protochlorophyllide a
CHEBI:81544	#3-(1-hydroxyethyl)bacteriochlorophyllide a
CHEBI:81545	#3-(1-hydroxyethyl)chlorophyllide a
CHEBI:91128	#3-acetylchlorophyllide a
CHEBI:74628	#3-vinylbacteriochlorophyllide a
CHEBI:81548	#3-vinylbacteriochlorophyllide d
CHEBI:137302	#7,7-dihydroxybacteriochlorophyllide c
CHEBI:139553	#7(1)-hydroxybacteriochlorophyllide d
CHEBI:76032	#7(1)-hydroxychlorophyll a
CHEBI:48396	#7(1)-hydroxychlorophyllide a
CHEBI:139555	#7(1),7(1)-dihydroxybacteriochlorophyllide d
CHEBI:131582	#8,12-diethyl-3-vinylbacteriochlorophyllide d
CHEBI:55327	#aci-nitroethane(1-)
CHEBI:46683	#actinolite
