Sub category 1:	sub category 2:	sub category 3:	sub category 4:	sub category 5:	sub category 6:	sub category 7:	ontology ID	label	parent class	exact synonym	exact match	close match	definition	comment	editors note	broad synonym	narrow synonym	cross refference	BCODMO master paramater	Entity subset	category subset
boron compound	boron oxoacid	hypodiboronic acid					CHEBI:38274	hypodiboronic acid	boron oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron oxide						CHEBI:35777	boron oxide	boron compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron oxide	diboron trioxide					CHEBI:30163	diboron trioxide	boron oxide											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron oxide	oxidoboron					CHEBI:30162	oxidoboron	boron oxide											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron oxide	oxidoboron(1+)					CHEBI:30161	oxidoboron(1+)	boron oxide											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron hydride						CHEBI:33588	boron hydride	boron compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron hydride	borohydride					CHEBI:30157	borohydride	boron hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron hydride	boronium					CHEBI:30158	boronium	boron hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron hydride	dihydridoborate(1-)					CHEBI:33606	dihydridoborate(1-)	boron hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron hydride	dihydridoboron(1+)					CHEBI:33605	dihydridoboron(1+)	boron hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron hydride	hydridoborate(2-)					CHEBI:37759	hydridoborate(2-)	boron hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron hydride	hydridoboron(2+)					CHEBI:38982	hydridoboron(2+)	boron hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron hydride	borane					CHEBI:30149	borane	boron hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron hydride	diborane					CHEBI:51685	diborane	boron hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron hydride	dihydridoboron(.)					CHEBI:33607	dihydridoboron(.)	boron hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron hydride	hydridoboron					CHEBI:38983	hydridoboron	boron hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron hydride	pentaborane(9)					CHEBI:33591	pentaborane(9)	boron hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron hydride	tetraborane(10)					CHEBI:33592	tetraborane(10)	boron hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bromine compound							CHEBI:22928	bromine compound												http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bromine compound	bromine oxoanion						CHEBI:33444	bromine oxoanion	bromine compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bromine compound	bromine oxoanion	bromate					CHEBI:29223	bromate	bromine oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bromine compound	bromine oxoanion	bromite					CHEBI:29248	bromite	bromine oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bromine compound	bromine oxoanion	hypobromite					CHEBI:29250	hypobromite	bromine oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bromine compound	bromine oxoanion	perbromate					CHEBI:29246	perbromate	bromine oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bromine compound	bromine oxide						CHEBI:37764	bromine oxide	bromine compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bromine compound	bromine oxide	bromidodioxygen(.)					CHEBI:29875	bromidodioxygen(.)	bromine oxide											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bromine compound	bromine oxide	bromine dioxide					CHEBI:29874	bromine dioxide	bromine oxide											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bromine compound	bromine oxide	bromine tetraoxide					CHEBI:29893	bromine tetraoxide	bromine oxide											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bromine compound	bromine oxide	bromine trioxide					CHEBI:29887	bromine trioxide	bromine oxide											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bromine compound	bromine oxide	dioxidobromine(1+)					CHEBI:29880	dioxidobromine(1+)	bromine oxide											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bromine compound	bromine oxide	oxidobromine(.)					CHEBI:29876	oxidobromine(.)	bromine oxide											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bromine compound	bromine oxide	oxidobromine(1+)					CHEBI:29873	oxidobromine(1+)	bromine oxide											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bromine compound	bromine oxide	trioxidobromine(1+)					CHEBI:29886	trioxidobromine(1+)	bromine oxide											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bromine compound	bromine oxoacid						CHEBI:33427	bromine oxoacid	bromine compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bromine compound	bromine oxoacid	bromic acid					CHEBI:49382	bromic acid	bromine oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bromine compound	bromine oxoacid	bromous acid					CHEBI:29247	bromous acid	bromine oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bromine compound	bromine oxoacid	hypobromous acid					CHEBI:29249	hypobromous acid	bromine oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bromine compound	bromine oxoacid	perbromic acid					CHEBI:29245	perbromic acid	bromine oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bromine compound	bromide salt						CHEBI:22925	bromide salt	bromine compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bromine compound	bromide salt	ammonium bromide					CHEBI:85364	ammonium bromide	bromide salt											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bromine compound	bromide salt	lithium bromide					CHEBI:63042	lithium bromide	bromide salt											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bromine compound	bromide salt	organic bromide salt					CHEBI:48369	organic bromide salt	bromide salt											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bromine compound	bromide salt	sodium bromide					CHEBI:63004	sodium bromide	bromide salt											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bromine compound	bromate salt						CHEBI:22923	bromate salt	bromine compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bromine compound	bromate salt	potassium bromate					CHEBI:38211	potassium bromate	bromate salt											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bromine compound	bromate salt	sodium bromate					CHEBI:75229	sodium bromate	bromate salt											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
calcium compound							CHEBI:22985	calcium compound												http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
calcium compound	calcium hydroxide						CHEBI:35150	calcium hydroxide	calcium compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
calcium compound	calcium hydroxide	calcium dihydroxide					CHEBI:31341	calcium dihydroxide	calcium hydroxide											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
calcium compound	calcium hydroxide	calcium monohydroxide					CHEBI:35111	calcium monohydroxide	calcium hydroxide											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
calcium compound	calcium salt						CHEBI:35156	calcium salt	calcium compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
calcium compound	calcium salt	Calcium hypochlorite					CHEBI:31342	Calcium hypochlorite	calcium salt											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
calcium compound	calcium salt	calcium acetate					CHEBI:3310	calcium acetate	calcium salt											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
calcium compound	calcium salt	calcium carbonate					CHEBI:3311	calcium carbonate	calcium salt										http://lod.bco-dmo.org/id/parameter/1184	http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
calcium compound	calcium salt	calcium chloride dihydrate					CHEBI:86158	calcium chloride dihydrate	calcium salt											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
calcium compound	calcium salt	calcium chloride hexahydrate					CHEBI:91243	calcium chloride hexahydrate	calcium salt											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
calcium compound	calcium salt	calcium cyanamide					CHEBI:64301	calcium cyanamide	calcium salt											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
calcium compound	calcium salt	calcium dibromide					CHEBI:31338	calcium dibromide	calcium salt											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
calcium compound	calcium salt	calcium dichloride					CHEBI:3312	calcium dichloride	calcium salt											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
calcium compound	calcium salt	calcium difluoride					CHEBI:35437	calcium difluoride	calcium salt											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
calcium compound	calcium salt	calcium nitrate					CHEBI:64205	calcium nitrate	calcium salt											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
calcium compound	calcium salt	calcium phosphate					CHEBI:77635	calcium phosphate	calcium salt											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
calcium compound	calcium salt	calcium sulfate					CHEBI:31346	calcium sulfate	calcium salt											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
carbon compound							CHEBI:33582	carbon compound												http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
carbon compound	carbon oxoanion						CHEBI:35604	carbon oxoanion	carbon compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
carbon compound	carbon oxoanion	(dioxido)oxidocarbonate(.1-)					CHEBI:29788	(dioxido)oxidocarbonate(.1-)	carbon oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
