Sub category 1:	sub category 2:	sub category 3:	ontology ID	label	parent class	exact synonym	exact match	close match	definition	comment	editors note	broad synonym	narrow synonym	cross refference	BCODMO master paramater	Entity subset	category subset
boron	boron valence	boride(1-)	CHEBI:30166	boride(1-)	boron valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
boron	boron valence	boride(3-)	CHEBI:30167	boride(3-)	boron valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
boron	boron valence	boron(1+)	CHEBI:30165	boron(1+)	boron valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
boron	boron valence	boron(3+)	CHEBI:30168	boron(3+)	boron valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
boron	diboron		CHEBI:51707	diboron	boron											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
boron	diboron	diboron(4+)	CHEBI:51709	diboron(4+)	diboron											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
bromine			CHEBI:36894	bromine												http://bcodmo/sm#chemistry	http://bcodmo/sm#element
bromine	bromine isotope		CHEBI:22927	bromine isotope	bromine											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
bromine	bromine isotope	bromine-79 isotope	CHEBI:52743	bromine-79 isotope	bromine isotope											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
bromine	bromine valence		BSM:0200002	bromine valence	bromine											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
bromine	bromine valence	bromide	CHEBI:15858	bromide	bromine valence										http://lod.bco-dmo.org/id/parameter/661634	http://bcodmo/sm#chemistry	http://bcodmo/sm#element
bromine	bromine valence	bromine(1+)	CHEBI:36900	bromine(1+)	bromine valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
bromine	bromine valence	bromine(0)	CHEBI:33117	bromine(0)	bromine valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
bromine	dibromine		CHEBI:29224	dibromine	bromine											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
bromine	dibromine	dibromide(.1-)	CHEBI:30075	dibromide(.1-)	dibromine											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
bromine	dibromine	dibromine(.1+)	CHEBI:30074	dibromine(.1+)	dibromine											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
cadmium			CHEBI:37249	cadmium												http://bcodmo/sm#chemistry	http://bcodmo/sm#element
cadmium	cadmium isotope		CHEBI:22977	cadmium isotope	cadmium										http://lod.bco-dmo.org/id/parameter/820750|https://www.bco-dmo.org/parameter/1940	http://bcodmo/sm#chemistry	http://bcodmo/sm#element
cadmium	cadmium isotope	cadmium-110 isotope	BSM:0200025	cadmium-110 isotope	cadmium isotope										http://lod.bco-dmo.org/id/parameter/1940	http://bcodmo/sm#chemistry	http://bcodmo/sm#element
cadmium	cadmium isotope	cadmium-111 isotope	CHEBI:52619	cadmium-111 isotope	cadmium isotope											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
cadmium	cadmium isotope	cadmium-112 isotope	BSM:0200026	cadmium-112 isotope	cadmium isotope						Add to CHEBI.					http://bcodmo/sm#chemistry	http://bcodmo/sm#element
cadmium	cadmium isotope	cadmium-113 isotope	CHEBI:52620	cadmium-113 isotope	cadmium isotope											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
cadmium	cadmium isotope	cadmium-114 isotope	BSM:0200027	cadmium-114 isotope	cadmium isotope						Add to CHEBI.					http://bcodmo/sm#chemistry	http://bcodmo/sm#element
calcium			CHEBI:35155	calcium												http://bcodmo/sm#chemistry	http://bcodmo/sm#element
calcium	calcium isotope		CHEBI:22984	calcium isotope	calcium										http://lod.bco-dmo.org/id/parameter/527969	http://bcodmo/sm#chemistry	http://bcodmo/sm#element
calcium	calcium isotope	calcium-42 isotope	BSM:0200028	calcium-42 isotope	calcium isotope											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
calcium	calcium isotope	calcium-43 isotope	BSM:0200029	calcium-43 isotope	calcium isotope											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
calcium	calcium isotope	calcium-44 isotope	BSM:0200030	calcium-44 isotope	calcium isotope											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
calcium	calcium valence		BSM:0200003	calcium valence	calcium											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
calcium	calcium valence	calcium(1+)	CHEBI:39099	calcium(1+)	calcium valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
calcium	calcium valence	calcium(2+)	CHEBI:29108	calcium(2+)	calcium valence										http://lod.bco-dmo.org/id/parameter/821631	http://bcodmo/sm#chemistry	http://bcodmo/sm#element
calcium	calcium valence	calcium(0)	CHEBI:29320	calcium(0)	calcium valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
carbon			CHEBI:33415	carbon												http://bcodmo/sm#chemistry	http://bcodmo/sm#element
carbon	carbon isotope		CHEBI:27594	carbon isotope	carbon										http://lod.bco-dmo.org/id/parameter/707571	http://bcodmo/sm#chemistry	http://bcodmo/sm#element
carbon	carbon isotope	carbon-10 isotope	CHEBI:36930	carbon-10 isotope	carbon isotope											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
carbon	carbon isotope	carbon-11 isotope	CHEBI:36929	carbon-11 isotope	carbon isotope											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
carbon	carbon isotope	carbon-12 isotope	CHEBI:36931	carbon-12 isotope	carbon isotope											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
carbon	carbon isotope	carbon-13 isotope	CHEBI:36928	carbon-13 isotope	carbon isotope											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
carbon	carbon isotope	carbon-14 isotope	CHEBI:36927	carbon-14 isotope	carbon isotope											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
carbon	carbon valence		CHEBI:33419	carbon valence	carbon											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
carbon	carbon valence	carbide(1-)	CHEBI:29435	carbide(1-)	carbon valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
carbon	carbon valence	carbide(4-)	CHEBI:29434	carbide(4-)	carbon valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
